player_id,player_name,match_played,value,team_id,team,team_name,rank,position_id,position_name,team_full_name,points_per_match
4947,Ashu Malik,23,9,2,,DEL,1,8,Raider,Dabang Delhi K.C.,0.391304347826087
5124,Parteek Dahiya,20,9,31,,GUJ,2,8,Raider,Gujarat Giants,0.45
2024,Arjun Deshwal,23,7,3,,JAI,3,8,Raider,Jaipur Pink Panthers,0.30434782608695654
3054,Vinay,23,6,28,,HAR,4,8,Raider,Haryana Steelers,0.2608695652173913
3128,Sonu,18,5,31,,GUJ,5,8,Raider,Gujarat Giants,0.2777777777777778
4179,Sushil,16,5,1,,BLR,6,8,Raider,Bengaluru Bulls,0.3125
143,Maninder Singh,21,5,4,,KOL,7,8,Raider,Bengal Warriors,0.23809523809523808
318,Pawan Sehrawat,21,5,8,,HYD,8,8,Raider,Telugu Titans,0.23809523809523808
3032,Guman Singh,18,4,5,,MUM,9,8,Raider,U Mumba,0.2222222222222222
3233,Pankaj Mohite,22,4,7,,PUN,10,8,Raider,Puneri Paltan,0.18181818181818182
3241,Surender Gill,10,4,30,,U.P.,11,8,Raider,U.P. Yoddhas,0.4
5163,Gagana Gowda,13,4,30,,U.P.,12,0,Right Raider,U.P. Yoddhas,0.3076923076923077
5093,Narender,21,4,29,,CHE,13,8,Raider,Tamil Thalaivas,0.19047619047619047
5185,Nitin Kumar,20,4,4,,KOL,14,0,Right Raider,Bengal Warriors,0.2
5158,Omkar Patil,10,3,8,,HYD,15,0,Right Raider,Telugu Titans,0.3
4944,Bharat,18,3,1,,BLR,16,8,Raider,Bengaluru Bulls,0.16666666666666666
3053,V Ajith Kumar,19,3,3,,JAI,17,8,Raider,Jaipur Pink Panthers,0.15789473684210525
4108,Shivam Patare,23,3,28,,HAR,18,0,Left Raider,Haryana Steelers,0.13043478260869565
2026,Siddharth Desai,17,3,28,,HAR,19,8,Raider,Haryana Steelers,0.17647058823529413
757,Sachin,22,3,6,,PAT,20,8,Raider,Patna Pirates,0.13636363636363635
763,Manjeet,22,3,6,,PAT,21,8,Raider,Patna Pirates,0.13636363636363635
2296,Naveen Kumar,6,2,2,,DEL,22,8,Raider,Dabang Delhi K.C.,0.3333333333333333
366,Vikash Kandola,19,2,1,,BLR,23,8,Raider,Bengaluru Bulls,0.10526315789473684
197,Pardeep Narwal,17,2,30,,U.P.,24,8,Raider,U.P. Yoddhas,0.11764705882352941
106,Shrikant Jadhav,15,2,4,,KOL,25,8,Raider,Bengal Warriors,0.13333333333333333
4925,Mohammadreza Chiyaneh,24,2,7,,PUN,26,0,All-Rounder,Puneri Paltan,0.08333333333333333
4191,Sanjeevi S ,17,2,8,,HYD,27,0,All- Rounder,Telugu Titans,0.11764705882352941
4193,Sudhakar M ,19,2,6,,PAT,28,8,Raider,Patna Pirates,0.10526315789473684
3966,Rakesh,21,2,31,,GUJ,29,8,Raider,Gujarat Giants,0.09523809523809523
5153,Vishal Chahal ,10,2,29,,CHE,30,0,Right Raider,Tamil Thalaivas,0.2
5138,Akshit ,10,2,1,,BLR,31,0,Left Raider,Bengaluru Bulls,0.2
5146,Vishal Tate,3,2,28,,HAR,32,0,Right Raider,Haryana Steelers,0.6666666666666666
4959,Akash Shinde,13,2,7,,PUN,33,8,Raider,Puneri Paltan,0.15384615384615385
4960,Aslam Mustafa Inamdar,23,2,7,,PUN,34,0,All-rounder,Puneri Paltan,0.08695652173913043
5002,Jai Bhagwan,13,2,5,,MUM,35,8,Raider,U Mumba,0.15384615384615385
5252,Amirmohammad Zafardanesh,20,2,5,,MUM,36,0,All-Rounder,U Mumba,0.1
5200,Rohit Yadav,5,1,5,,MUM,37,0,Left Raider,U Mumba,0.2
5046,Visvanth V,18,1,5,,MUM,38,0,All- Rounder,U Mumba,0.05555555555555555
5107,Anuj Kumar,1,1,6,,PAT,39,8,Raider,Patna Pirates,1.0
4954,Mohit Nandal,24,1,28,,HAR,40,0,Defender - Right Cover,Haryana Steelers,0.041666666666666664
5148,Abhijeet Malik,5,1,3,,JAI,41,8,Raider,Jaipur Pink Panthers,0.2
5145,Nitin ,9,1,31,,GUJ,42,8,Raider,Gujarat Giants,0.1111111111111111
5174,Ajit Pawar,20,1,8,,HYD,43,0,Defender - Left Cover,Telugu Titans,0.05
3965,Manjeet,20,1,2,,DEL,44,8,Raider,Dabang Delhi K.C.,0.05
3154,Sachin Narwal,4,1,1,,BLR,45,0,All-Rounder,Bengaluru Bulls,0.25
3161,Himanshu,16,1,29,,CHE,46,0,Defender - Left Corner,Tamil Thalaivas,0.0625
3090,Rakshith ,4,1,1,,BLR,47,0,Defender-Right Cover,Bengaluru Bulls,0.25
3097,Ajinkya Pawar,21,1,29,,CHE,48,8,Raider,Tamil Thalaivas,0.047619047619047616
4723,Rohit,5,1,6,,PAT,49,0,All-Rounder,Patna Pirates,0.2
4757,Vishwas S,16,1,4,,KOL,50,8,Raider,Bengal Warriors,0.0625
4183,Meetu Sharma,22,1,2,,DEL,51,8,Raider,Dabang Delhi K.C.,0.045454545454545456
36,Chandran Ranjit,4,1,28,,HAR,52,8,Raider,Haryana Steelers,0.25
368,Sunil Kumar,23,1,3,,JAI,53,9,Defender,Jaipur Pink Panthers,0.043478260869565216
660,Bhavani Rajput,20,1,3,,JAI,54,8,Raider,Jaipur Pink Panthers,0.05
322,Surjeet Singh,21,1,1,,BLR,55,0,Defender - Right Cover,Bengaluru Bulls,0.047619047619047616
3023,Rohit Gulia,16,1,31,,GUJ,56,0,All-Rounder,Gujarat Giants,0.0625
3038,Neeraj Narwal,12,1,1,,BLR,57,8,Raider,Bengaluru Bulls,0.08333333333333333
2290,Rajnish,7,1,8,,HYD,58,8,Raider,Telugu Titans,0.14285714285714285
