Unnamed: 0,Outcome,Percentage outcome,Unnamed: 3,Unnamed: 4
Empty,Successful,Unsuccessful,,
25.0%,25.0%,50.0%,-33.3%,100.0%
14.3%,42.9%,42.9%,,
70.0%,10.0%,20.0%,,
80.0%,20.0%,,,
83.3%,,16.7%,,
50.0%,,50.0%,,
50.0%,50.0%,,,
100.0%,,,,
,100.0%,,,
100.0%,,,,
33.3%,,66.7%,,
25.0%,25.0%,50.0%,,
40.0%,40.0%,20.0%,,
100.0%,,,,
,100.0%,,,
20.0%,40.0%,40.0%,,
76.5%,11.8%,11.8%,,
84.2%,15.8%,,,
63.9%,16.7%,19.4%,,
39.1%,39.1%,21.7%,,
36.1%,41.7%,22.2%,,
,,100.0%,,
,,100.0%,,
,,100.0%,,
,100.0%,,,
,100.0%,,,
,40.0%,60.0%,,
33.3%,,66.7%,,
100.0%,,,,
14.3%,28.6%,57.1%,,
100.0%,,,,
100.0%,,,,
66.7%,16.7%,16.7%,,
,,100.0%,,
,,100.0%,,
100.0%,,,,
50.0%,,50.0%,,
100.0%,,,,
100.0%,,,,
,100.0%,,,
20.0%,60.0%,20.0%,,
61.5%,38.5%,,,
50.0%,25.0%,25.0%,,
55.6%,29.6%,14.8%,,
35.3%,52.9%,11.8%,,
31.6%,43.9%,24.6%,,
,100.0%,,,
20.0%,60.0%,20.0%,,
61.5%,38.5%,,,
50.0%,25.0%,25.0%,,
55.6%,29.6%,14.8%,Percentage outcome,
35.3%,52.9%,11.8%,,
31.6%,43.9%,24.6%,-33.3%,100.0%
100.0%,,,,
100.0%,,,,
50.0%,,50.0%,,
100.0%,,,,
83.3%,,16.7%,,
66.7%,33.3%,,,
90.0%,10.0%,,,
66.7%,,33.3%,,
66.7%,16.7%,16.7%,,
100.0%,,,,
41.7%,35.4%,22.9%,,
25.7%,41.4%,32.9%,,
100.0%,,,,
,,100.0%,,
40.0%,20.0%,40.0%,,
23.1%,38.5%,38.5%,,
47.4%,31.6%,21.1%,,
45.9%,29.7%,24.3%,,
47.4%,36.8%,15.8%,,
51.2%,34.9%,14.0%,,
,100.0%,,,
,92.3%,7.7%,,
65.0%,20.0%,15.0%,,
75.0%,10.7%,14.3%,,
61.5%,25.0%,13.5%,,
53.3%,26.7%,20.0%,,
43.2%,41.1%,15.8%,,
Raider Name,Number of Defenders,Total Raids,% of Raids,
Ashish Chhokar,3,4,13%,
,4,7,22%,
,5,10,31%,
,6,5,16%,
,7,6,19%,
David Mosambayi,2,2,33%,
,4,2,33%,
,5,1,17%,
,6,1,17%,
Deepak Kumar,3,1,6%,
,4,3,18%,
,5,4,24%,
,6,5,29%,
,7,4,24%,
Deepak Kumar,1,1,1%,
Dahiya,2,5,3%,
,3,17,9%,
,4,19,10%,
,5,36,18%,
,6,46,23%,
,7,72,37%,
Khomsan,5,1,50%,
Thongkham,7,1,50%,
Kuldeep Singh,7,1,,100%
Mayur Shivtarkar,2,1,4%,
,3,1,4%,
,4,5,20%,
,5,6,24%,
,6,5,20%,
,7,7,28%,
Mohit Chhillar,4,2,22%,
,6,1,11%,
,7,6,67%,
Neeraj Kumar,7,1,,100%
Parmod Narwal,2,1,8%,
,3,1,8%,
,5,4,33%,
,6,2,17%,
,7,4,33%,
Prashanth Kumar,1,1,1%,
Rai,2,5,3%,
,3,13,9%,
,4,12,8%,
,5,27,18%,
,6,34,23%,
,7,57,38%,
,6,1,,
Prashanth Kumar,,,,
RRaaiider Name,Number of7Defenders,Tota5l 7Raids,% of Raids,
Rakesh Singh,6,1,33%,
Kumar,7,2,67%,
Surender Nada,3,2,9%,
,4,1,5%,
,5,6,27%,
,6,3,14%,
,7,10,45%,
Surjeet Singh,3,3,2%,
,4,6,4%,
,5,19,13%,
,6,48,33%,
,7,70,48%,
Vikas,5,1,50%,
,7,1,50%,
Vikash Khandola,2,5,4%,
,3,13,10%,
,4,19,14%,
,5,37,27%,
,6,19,14%,
,7,43,32%,
Wazir Singh,1,3,1%,
,2,13,5%,
,3,20,7%,
,4,28,10%,
,5,52,19%,
,6,60,22%,
,7,95,35%,
